"","maakunta","vuosi","toimiala","tuottavuus","nobs"
"262","Pohjois-Savo",2013,"Taiteet, viihde ja virkistys",2.17695094439598,539
"263","Satakunta",2013,"Taiteet, viihde ja virkistys",3.04734699461799,342
"264","Uusimaa",2013,"Taiteet, viihde ja virkistys",3.31549746432362,1017
"265","Varsinais-Suomi",2013,"Taiteet, viihde ja virkistys",3.78153670144675,1269
"266","Ahvenanmaa",2013,"Teollisuus",1.70689986199305,81
"267","Etelä-Karjala",2013,"Teollisuus",1.97997363816572,2424
"268","Etelä-Pohjanmaa",2013,"Teollisuus",1.97427011569142,2646
"269","Etelä-Savo",2013,"Teollisuus",2.0562229265428,2005
"270","Kainuu",2013,"Teollisuus",1.3122048936678,321
"271","Kanta-Häme",2013,"Teollisuus",1.81023816842717,1831
"272","Keski-Pohjanmaa",2013,"Teollisuus",1.46969061667657,1150
"273","Keski-Suomi",2013,"Teollisuus",1.97224713640535,2449
"274","Kymenlaakso",2013,"Teollisuus",1.44987169089374,2391
"275","Lappi",2013,"Teollisuus",1.82592410691988,898
"276","Päijät-Häme",2013,"Teollisuus",1.78544252631224,1421
"277","Pirkanmaa",2013,"Teollisuus",2.05042079524971,6796
"278","Pohjanmaa",2013,"Teollisuus",1.70774562928749,2175
"279","Pohjois-Karjala",2013,"Teollisuus",1.53266555267871,1946
"280","Pohjois-Pohjanmaa",2013,"Teollisuus",1.46375808102808,4116
"281","Pohjois-Savo",2013,"Teollisuus",1.75213806451328,3592
"282","Satakunta",2013,"Teollisuus",1.8486546918281,2993
"283","Uusimaa",2013,"Teollisuus",2.01098376454554,4621
"284","Varsinais-Suomi",2013,"Teollisuus",1.8630097327875,8913
"285","Ahvenanmaa",2013,"Terveys- ja sosiaalipalvelut",2.63736143508924,29
"286","Etelä-Karjala",2013,"Terveys- ja sosiaalipalvelut",2.07729497006367,1206
"287","Etelä-Pohjanmaa",2013,"Terveys- ja sosiaalipalvelut",2.0955393300801,1165
"288","Etelä-Savo",2013,"Terveys- ja sosiaalipalvelut",2.5886218258039,1251
"289","Kainuu",2013,"Terveys- ja sosiaalipalvelut",2.05736936980851,367
"290","Kanta-Häme",2013,"Terveys- ja sosiaalipalvelut",2.38001698827544,1249
"291","Keski-Pohjanmaa",2013,"Terveys- ja sosiaalipalvelut",1.78714013681048,523
"292","Keski-Suomi",2013,"Terveys- ja sosiaalipalvelut",2.4920728008893,1976
"293","Kymenlaakso",2013,"Terveys- ja sosiaalipalvelut",2.5789037061402,1474
"294","Lappi",2013,"Terveys- ja sosiaalipalvelut",1.99181837849431,557
"295","Päijät-Häme",2013,"Terveys- ja sosiaalipalvelut",2.22293569410731,698
"296","Pirkanmaa",2013,"Terveys- ja sosiaalipalvelut",3.18412439929541,3655
"297","Pohjanmaa",2013,"Terveys- ja sosiaalipalvelut",2.32720508901722,587
"298","Pohjois-Karjala",2013,"Terveys- ja sosiaalipalvelut",2.58079587967977,1447
"299","Pohjois-Pohjanmaa",2013,"Terveys- ja sosiaalipalvelut",2.60081897370951,3648
"300","Pohjois-Savo",2013,"Terveys- ja sosiaalipalvelut",2.21717627091052,2626
"301","Satakunta",2013,"Terveys- ja sosiaalipalvelut",1.99998401893226,1637
"302","Uusimaa",2013,"Terveys- ja sosiaalipalvelut",2.80086335776527,2408
"303","Varsinais-Suomi",2013,"Terveys- ja sosiaalipalvelut",2.5254685040198,3568
"310","Ahvenanmaa",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.1424497141427,249
"311","Etelä-Karjala",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.04680381988422,5057
"312","Etelä-Pohjanmaa",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.20389257512833,4801
"313","Etelä-Savo",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.10980506524571,4291
"314","Kainuu",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",0.715421889197183,834
"315","Kanta-Häme",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.02041895334922,4676
"316","Keski-Pohjanmaa",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.00838961674232,2579
"317","Keski-Suomi",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.2299823858066,5106
"318","Kymenlaakso",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.29735250925142,5079
"319","Lappi",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",0.989306562545991,1953
"320","Päijät-Häme",2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.21389416712403,2481
